location,diameter,x,y,z
T,3.79,19.81,27.52,40.34
L,4.55,4.55,20.6,25.24
L,4.61,20.91,24.19,38.69
L,2.8,20.96,23.64,39.38
L,2.99,20.83,21.13,38.8
L,2.73,21.08,25.01,37.91
L,2.84,23.75,22.72,29.45
L,1.38,23.26,19.96,22.9
L,2.37,23.22,21.6,23.92
L,1.26,24.2,21.05,28.78
L,1.37,23.2,18.75,21.23
L,1.96,20.55,20.34,37.51
L,1.43,19.85,20.06,36.84
L,2.95,20.94,20.69,38.92
L,2.64,20.42,18.92,41.31
L,2.64,20.42,18.92,41.31
L,1.5,21.98,11.27,54.89
R,6.06,18.09,29.01,41.55
R,5.31,20.66,30.48,39.41
R,2.29,21.11,32.17,40.84
R,2.84,21.61,34.06,41.49
R,2.84,21.61,34.06,41.49
R,2.4,22.08,35.07,42.67
R,4.47,20.5,30.14,38.95
R,2.42,23.12,31.37,33.32
R,2.42,23.12,31.37,33.32
R,1.91,22.75,31.84,31.52
R,1.91,22.75,31.84,31.52
R,2.62,22.22,33.79,27.42
R,2.62,22.22,33.79,27.42
R,2.39,20.74,34.01,20.97
R,1.6,24.36,30.49,31.61
R,1.49,25.13,28.79,28.23
